ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,2
Basic Problems B,Basic Problem B-05,2
Basic Problems B,Basic Problem B-06,1
Basic Problems B,Basic Problem B-07,3
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,1
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Basic Problems C,Basic Problem C-01,3
Basic Problems C,Basic Problem C-02,3
Basic Problems C,Basic Problem C-03,1
Basic Problems C,Basic Problem C-04,8
Basic Problems C,Basic Problem C-05,5
Basic Problems C,Basic Problem C-06,8
Basic Problems C,Basic Problem C-07,4
Basic Problems C,Basic Problem C-08,8
Basic Problems C,Basic Problem C-09,6
Basic Problems C,Basic Problem C-10,1
Basic Problems C,Basic Problem C-11,8
Basic Problems C,Basic Problem C-12,8
Basic Problems D,Basic Problem D-01,3
Basic Problems D,Basic Problem D-02,3
Basic Problems D,Basic Problem D-03,5
Basic Problems D,Basic Problem D-04,3
Basic Problems D,Basic Problem D-05,8
Basic Problems D,Basic Problem D-06,6
Basic Problems D,Basic Problem D-07,8
Basic Problems D,Basic Problem D-08,5
Basic Problems D,Basic Problem D-09,5
Basic Problems D,Basic Problem D-10,8
Basic Problems D,Basic Problem D-11,2
Basic Problems D,Basic Problem D-12,1
Basic Problems E,Basic Problem E-01,5
Basic Problems E,Basic Problem E-02,3
Basic Problems E,Basic Problem E-03,3
Basic Problems E,Basic Problem E-04,2
Basic Problems E,Basic Problem E-05,1
Basic Problems E,Basic Problem E-06,7
Basic Problems E,Basic Problem E-07,3
Basic Problems E,Basic Problem E-08,5
Basic Problems E,Basic Problem E-09,8
Basic Problems E,Basic Problem E-10,5
Basic Problems E,Basic Problem E-11,5
Basic Problems E,Basic Problem E-12,7
Challenge Problems B,Challenge Problem B-01,1
Challenge Problems B,Challenge Problem B-02,3
Challenge Problems B,Challenge Problem B-03,2
Challenge Problems B,Challenge Problem B-04,2
Challenge Problems B,Challenge Problem B-05,6
Challenge Problems B,Challenge Problem B-06,3
Challenge Problems B,Challenge Problem B-07,1
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,4
Challenge Problems B,Challenge Problem B-10,1
Challenge Problems B,Challenge Problem B-11,2
Challenge Problems B,Challenge Problem B-12,6
Challenge Problems C,Challenge Problem C-01,2
Challenge Problems C,Challenge Problem C-02,3
Challenge Problems C,Challenge Problem C-03,7
Challenge Problems C,Challenge Problem C-04,4
Challenge Problems C,Challenge Problem C-05,2
Challenge Problems C,Challenge Problem C-06,2
Challenge Problems C,Challenge Problem C-07,2
Challenge Problems C,Challenge Problem C-08,4
Challenge Problems C,Challenge Problem C-09,7
Challenge Problems C,Challenge Problem C-10,6
Challenge Problems C,Challenge Problem C-11,8
Challenge Problems C,Challenge Problem C-12,4
Challenge Problems D,Challenge Problem D-01,8
Challenge Problems D,Challenge Problem D-02,6
Challenge Problems D,Challenge Problem D-03,1
Challenge Problems D,Challenge Problem D-04,5
Challenge Problems D,Challenge Problem D-05,5
Challenge Problems D,Challenge Problem D-06,2
Challenge Problems D,Challenge Problem D-07,6
Challenge Problems D,Challenge Problem D-08,8
Challenge Problems D,Challenge Problem D-09,4
Challenge Problems D,Challenge Problem D-10,1
Challenge Problems D,Challenge Problem D-11,4
Challenge Problems D,Challenge Problem D-12,2
Challenge Problems E,Challenge Problem E-01,2
Challenge Problems E,Challenge Problem E-02,7
Challenge Problems E,Challenge Problem E-03,3
Challenge Problems E,Challenge Problem E-04,2
Challenge Problems E,Challenge Problem E-05,7
Challenge Problems E,Challenge Problem E-06,1
Challenge Problems E,Challenge Problem E-07,4
Challenge Problems E,Challenge Problem E-08,5
Challenge Problems E,Challenge Problem E-09,5
Challenge Problems E,Challenge Problem E-10,1
Challenge Problems E,Challenge Problem E-11,1
Challenge Problems E,Challenge Problem E-12,4
